"service_quote_id","service_id","name","index","quote","unit","start_date","end_date","hidden","disabled","deleted","deleted_at","created_at","created_by","updated_at","updated_by"
4750,1007,"(SG-ONT2)61 ~ 90","114_days_geq61_leq90",0.7000,"per CBM per day","2024-02-04 00:00:00","2099-12-31 23:59:00",0,0,0,,"2024-01-08 08:00:00",0,"2024-03-27 08:57:49",0
4851,1007,"(SG-IAH1)61 ~ 90","116_days_geq61_leq90",0.4800,"per CBM per day","2024-05-13 00:00:00","2099-12-31 23:59:59",0,0,0,,"2024-05-13 07:00:00",0,"2024-05-13 07:00:00",0
4852,1007,"(SG-IAH1)365+","116_days_other",2.5000,"per CBM per day","2024-05-13 00:00:00","2099-12-31 23:59:59",0,0,0,,"2024-05-13 07:00:00",0,"2024-05-13 07:00:00",0
4853,1007,"(SG-IAH1)91 ~ 120","116_days120",1.0000,"per CBM per day","2024-05-13 00:00:00","2099-12-31 23:59:59",0,0,0,,"2024-05-13 07:00:00",0,"2024-05-13 07:00:00",0
4854,1007,"(SG-IAH1)121 ~ 180","116_days180",1.2000,"per CBM per day","2024-05-13 00:00:00","2099-12-31 23:59:59",0,0,0,,"2024-05-13 07:00:00",0,"2024-05-13 07:00:00",0
4855,1007,"(SG-IAH1)181 ~ 270","116_days270",1.5000,"per CBM per day","2024-05-13 00:00:00","2099-12-31 23:59:59",0,0,0,,"2024-05-13 07:00:00",0,"2024-05-13 07:00:00",0
4856,1007,"(SG-IAH1)0 ~ 30","116_days30",0.0000,"per CBM per day","2024-05-13 00:00:00","2099-12-31 23:59:59",0,0,0,,"2024-05-13 07:00:00",0,"2024-05-13 07:00:00",0
4857,1007,"(SG-IAH1)271 ~ 365","116_days365",1.8000,"per CBM per day","2024-05-13 00:00:00","2099-12-31 23:59:59",0,0,0,,"2024-05-13 07:00:00",0,"2024-05-13 07:00:00",0
4858,1007,"(SG-IAH1)31 ~ 60","116_days60",0.2800,"per CBM per day","2024-05-13 00:00:00","2099-12-31 23:59:59",0,0,0,,"2024-05-13 07:00:00",0,"2024-05-13 07:00:00",0
5027,1007,"(SG-ONT3)0 ~ 30","117_days30",0.0000,"per CBM per day","2024-07-10 03:00:00","2099-12-31 23:59:00",0,0,0,,"2024-07-10 10:00:00",336,"2024-07-10 10:00:00",336
5028,1007,"(SG-ONT3)91 ~ 120","117_days120",1.0000,"per CBM per day","2024-07-10 03:00:00","2099-12-31 23:59:00",0,0,0,,"2024-07-10 10:00:00",336,"2024-07-10 10:00:00",336
5029,1007,"(SG-ONT3)121 ~ 180","117_days180",1.2000,"per CBM per day","2024-07-10 03:00:00","2099-12-31 23:59:00",0,0,0,,"2024-07-10 10:00:00",336,"2024-07-10 10:00:00",336
5030,1007,"(SG-ONT3)181 ~ 270","117_days270",1.5000,"per CBM per day","2024-07-10 03:00:00","2099-12-31 23:59:00",0,0,0,,"2024-07-10 10:00:00",336,"2024-07-10 10:00:00",336
5031,1007,"(SG-ONT3)365+","117_days_other",2.5000,"per CBM per day","2024-07-10 03:00:00","2099-12-31 23:59:00",0,0,0,,"2024-07-10 10:00:00",0,"2024-07-10 10:00:00",0
5032,1007,"(SG-ONT3)31 ~ 60","117_days60",0.4200,"per CBM per day","2024-07-10 03:00:00","2099-12-31 23:59:00",0,0,0,,"2024-07-10 10:00:00",0,"2024-07-10 10:00:00",0
5033,1007,"(SG-ONT3)61 ~ 90","117_days_geq61_leq90",0.7000,"per CBM per day","2024-07-10 03:00:00","2099-12-31 23:59:00",0,0,0,,"2024-07-10 10:00:00",0,"2024-07-10 10:00:00",0
5034,1007,"(SG-ONT3)271 ~ 365","117_days365",1.8000,"per CBM per day","2024-07-10 03:00:00","2099-12-31 23:59:00",0,0,0,,"2024-07-10 10:00:00",0,"2024-07-10 10:00:00",0
5286,1007,"(SG-IAH2)61 ~ 90","118_days_geq61_leq90",0.4800,"per CBM per day","2024-05-13 00:00:00","2099-12-31 23:59:59",0,0,0,,"2024-05-13 07:00:00",0,"2024-05-13 07:00:00",0
