zone_chart_id,zip_range_start,zip_range_end,warehouse_id,zone_chart_type_id,zone,hidden,disabled,deleted,deleted_at,created_at,created_by,updated_at,updated_by
48946,86300,86399,114,5,203,0,0,0,,2024/2/4 8:00,336,2024/12/3 0:40,336
48949,87000,87099,114,5,204,0,0,0,,2024/2/4 8:00,336,2024/12/3 0:42,336
48992,92200,92299,114,5,203,0,0,0,,2024/2/4 8:00,336,2024/12/3 0:42,336
49001,93200,93299,114,5,203,0,0,0,,2024/2/4 8:00,336,2024/12/3 0:43,336
49044,98300,98399,114,5,206,0,0,0,,2024/2/4 8:00,336,2024/12/3 0:43,336
55675,10900,10999,116,4,107,0,0,0,,2024/5/13 7:00,0,2024/12/3 0:56,0
55826,26100,26199,116,4,106,0,0,0,,2024/5/13 7:00,0,2024/12/3 0:56,0
55838,27400,27499,116,4,106,0,0,0,,2024/5/13 7:00,0,2024/12/3 0:57,0
55986,43000,43099,116,4,106,0,0,0,,2024/5/13 7:00,0,2024/12/3 0:58,0
56082,53000,53099,116,4,106,0,0,0,,2024/5/13 7:00,0,2024/12/3 1:18,0
56084,53200,53299,116,4,106,0,0,0,,2024/5/13 7:00,0,2024/12/3 1:19,0
56096,54600,54699,116,4,106,0,0,0,,2024/5/13 7:00,0,2024/12/3 1:22,0
56178,63600,63699,116,4,105,0,0,0,,2024/5/13 7:00,0,2024/12/3 1:23,0
56179,63700,63799,116,4,105,0,0,0,,2024/5/13 7:00,0,2024/12/3 1:23,0
56320,79500,79599,116,4,104,0,0,0,,2024/5/13 7:00,0,2024/12/3 1:23,0
56354,83200,83299,116,4,107,0,0,0,,2024/5/13 7:00,0,2024/12/3 1:24,0
56366,84500,84599,116,4,105,0,0,0,,2024/5/13 7:00,0,2024/12/3 1:24,0
56370,85100,85199,116,4,105,0,0,0,,2024/5/13 7:00,0,2024/12/3 1:25,0
56463,97000,97099,116,4,107,0,0,0,,2024/5/13 7:00,0,2024/12/3 1:25,0
56480,98800,98899,116,4,108,0,0,0,,2024/5/13 7:00,0,2024/12/3 1:25,0
56580,10900,10999,116,5,207,0,0,0,,2024/5/13 7:00,0,2024/12/3 0:56,0
56731,26100,26199,116,5,206,0,0,0,,2024/5/13 7:00,0,2024/12/3 0:56,0
56743,27400,27499,116,5,206,0,0,0,,2024/5/13 7:00,0,2024/12/3 0:57,0
56891,43000,43099,116,5,206,0,0,0,,2024/5/13 7:00,0,2024/12/3 0:58,0
56987,53000,53099,116,5,206,0,0,0,,2024/5/13 7:00,0,2024/12/3 1:18,0
56989,53200,53299,116,5,206,0,0,0,,2024/5/13 7:00,0,2024/12/3 1:19,0
57001,54600,54699,116,5,206,0,0,0,,2024/5/13 7:00,0,2024/12/3 1:22,0
57083,63600,63699,116,5,205,0,0,0,,2024/5/13 7:00,0,2024/12/3 1:23,0
57084,63700,63799,116,5,205,0,0,0,,2024/5/13 7:00,0,2024/12/3 1:23,0
57225,79500,79599,116,5,204,0,0,0,,2024/5/13 7:00,0,2024/12/3 1:23,0
