rate_id,service_id,fee_group,fee_code,fee_code_carrier,fee_type,commercial,residential,additional,rate_shopping,fee,start_date,end_date,hidden,disabled,deleted,deleted_at,created_at,created_by,updated_at,updated_by
,3334,Large Package Surcharge,LPR-3,LPR,"{""min_girth"":""130.01"",""min_zone"":105}",0,1,1,1,297.5,2024/12/4 20:00,2099/12/31 23:59,0,0,0,,2024/12/4 20:00,0,2024/12/4 20:00,0
,3334,Delivery Confirmation Signature,DCS,DCS,{"signature_type":"direct"},0,1,1,1,7.2,2024/12/4 20:00,2099/12/31 23:59,0,0,0,,2024/12/4 20:00,0,2024/12/4 20:00,0
,3334,Delivery Confirmation Signature Commercial,CSG,CSG,{"signature_type":"direct"},1,0,1,1,7.2,2024/12/4 20:00,2099/12/31 23:59,0,0,0,,2024/12/4 20:00,0,2024/12/4 20:00,0
,3334,Adult Signature Required,ADS,ADS,{"signature_type":"adult"},1,1,1,1,8.7,2024/12/4 20:00,2099/12/31 23:59,0,0,0,,2024/12/4 20:00,0,2024/12/4 20:00,0
,3334,Over Maximum,OML,OML,{"min_length":"108.01"},1,1,1,1,1325,2024/12/4 20:00,2099/12/31 23:59,0,0,0,,2024/12/4 20:00,0,2024/12/4 20:00,0
,3334,Over Maximum,OVR,OVR,{"min_girth":"165.01"},1,1,1,1,1325,2024/12/4 20:00,2099/12/31 23:59,0,0,0,,2024/12/4 20:00,0,2024/12/4 20:00,0
,3334,Over Maximum,OVX,OVX,{"min_weight":"2400.01"},1,1,1,1,1325,2024/12/4 20:00,2099/12/31 23:59,0,0,0,,2024/12/4 20:00,0,2024/12/4 20:00,0
,3334,Address Correction,ADC,ADC,,1,1,1,0,23.5,2024/12/4 20:00,2099/12/31 23:59,0,0,0,,2024/12/4 20:00,0,2024/12/4 20:00,0
,3334,Remote Area Surcharge - 48 States,CAC,CAC,{"AreaSurchargeZip":"CAC"},1,0,1,1,15.35,2024/12/4 20:00,2099/12/31 23:59,0,0,0,,2024/12/4 20:00,0,2024/12/4 20:00,0
,3334,Remote Area Surcharge - 48 States,CAR,CAR,{"AreaSurchargeZip":"CAR"},0,1,1,1,15.35,2024/12/4 20:00,2099/12/31 23:59,0,0,0,,2024/12/4 20:00,0,2024/12/4 20:00,0
,3334,Declared Value,EVS-1,EVS,"{""min_declare_value"":0.01,""max_declare_value"":100}",1,1,1,1,0,2024/12/4 20:00,2099/12/31 23:59,0,0,0,,2024/12/4 20:00,0,2024/12/4 20:00,0
,3334,Declared Value,EVS-3,EVS,"{""min_declare_value"":100.01,""max_declare_value"":300}",1,1,1,1,4.85,2024/12/4 20:00,2099/12/31 23:59,0,0,0,,2024/12/4 20:00,0,2024/12/4 20:00,0
,3334,Declared Value,EVS-4,EVS,"{""min_declare_value"":300.01,""max_declare_value"":400}",1,1,1,1,6.45,2024/12/4 20:00,2099/12/31 23:59,0,0,0,,2024/12/4 20:00,0,2024/12/4 20:00,0
,3334,Declared Value,EVS-5,EVS,"{""min_declare_value"":400.01,""max_declare_value"":500}",1,1,1,1,8.05,2024/12/4 20:00,2099/12/31 23:59,0,0,0,,2024/12/4 20:00,0,2024/12/4 20:00,0
,3334,Declared Value,EVS-6,EVS,"{""min_declare_value"":500.01,""max_declare_value"":600}",1,1,1,1,9.65,2024/12/4 20:00,2099/12/31 23:59,0,0,0,,2024/12/4 20:00,0,2024/12/4 20:00,0
,3334,Declared Value,EVS-7,EVS,"{""min_declare_value"":600.01,""max_declare_value"":700}",1,1,1,1,11.25,2024/12/4 20:00,2099/12/31 23:59,0,0,0,,2024/12/4 20:00,0,2024/12/4 20:00,0
,3334,Declared Value,EVS-8,EVS,"{""min_declare_value"":700.01,""max_declare_value"":800}",1,1,1,1,12.85,2024/12/4 20:00,2099/12/31 23:59,0,0,0,,2024/12/4 20:00,0,2024/12/4 20:00,0
,3334,Declared Value,EVS-9,EVS,"{""min_declare_value"":800.01,""max_declare_value"":900}",1,1,1,1,14.45,2024/12/4 20:00,2099/12/31 23:59,0,0,0,,2024/12/4 20:00,0,2024/12/4 20:00,0
,3334,Declared Value,EVS-10,EVS,"{""min_declare_value"":900.01,""max_declare_value"":1000}",1,1,1,1,16.05,2024/12/4 20:00,2099/12/31 23:59,0,0,0,,2024/12/4 20:00,0,2024/12/4 20:00,0
,3334,Declared Value,EVS-11,EVS,"{""min_declare_value"":1000.01,""max_declare_value"":1100}",1,1,1,1,17.65,2024/12/4 20:00,2099/12/31 23:59,0,0,0,,2024/12/4 20:00,0,2024/12/4 20:00,0
,3334,Declared Value,EVS-12,EVS,"{""min_declare_value"":1100.01,""max_declare_value"":1200}",1,1,1,1,19.25,2024/12/4 20:00,2099/12/31 23:59,0,0,0,,2024/12/4 20:00,0,2024/12/4 20:00,0
,3334,Declared Value,EVS-13,EVS,"{""min_declare_value"":1200.01,""max_declare_value"":1300}",1,1,1,1,20.85,2024/12/4 20:00,2099/12/31 23:59,0,0,0,,2024/12/4 20:00,0,2024/12/4 20:00,0
,3334,Declared Value,EVS-14,EVS,"{""min_declare_value"":1300.01,""max_declare_value"":1400}",1,1,1,1,22.45,2024/12/4 20:00,2099/12/31 23:59,0,0,0,,2024/12/4 20:00,0,2024/12/4 20:00,0
,3334,Declared Value,EVS-15,EVS,"{""min_declare_value"":1400.01,""max_declare_value"":1500}",1,1,1,1,24.05,2024/12/4 20:00,2099/12/31 23:59,0,0,0,,2024/12/4 20:00,0,2024/12/4 20:00,0
,3334,Declared Value,EVS-16,EVS,"{""min_declare_value"":1500.01,""max_declare_value"":1600}",1,1,1,1,25.65,2024/12/4 20:00,2099/12/31 23:59,0,0,0,,2024/12/4 20:00,0,2024/12/4 20:00,0
,3334,Declared Value,EVS-17,EVS,"{""min_declare_value"":1600.01,""max_declare_value"":1700}",1,1,1,1,27.25,2024/12/4 20:00,2099/12/31 23:59,0,0,0,,2024/12/4 20:00,0,2024/12/4 20:00,0
,3334,Declared Value,EVS-18,EVS,"{""min_declare_value"":1700.01,""max_declare_value"":1800}",1,1,1,1,28.85,2024/12/4 20:00,2099/12/31 23:59,0,0,0,,2024/12/4 20:00,0,2024/12/4 20:00,0
,3334,Declared Value,EVS-19,EVS,"{""min_declare_value"":1800.01,""max_declare_value"":1900}",1,1,1,1,30.45,2024/12/4 20:00,2099/12/31 23:59,0,0,0,,2024/12/4 20:00,0,2024/12/4 20:00,0
,3334,Declared Value,EVS-20,EVS,"{""min_declare_value"":1900.01,""max_declare_value"":2000}",1,1,1,1,32.05,2024/12/4 20:00,2099/12/31 23:59,0,0,0,,2024/12/4 20:00,0,2024/12/4 20:00,0
,3334,Declared Value,EVS-21,EVS,"{""min_declare_value"":2000.01,""max_declare_value"":2100}",1,1,1,1,33.65,2024/12/4 20:00,2099/12/31 23:59,0,0,0,,2024/12/4 20:00,0,2024/12/4 20:00,0
,3334,Declared Value,EVS-22,EVS,"{""min_declare_value"":2100.01,""max_declare_value"":2200}",1,1,1,1,35.25,2024/12/4 20:00,2099/12/31 23:59,0,0,0,,2024/12/4 20:00,0,2024/12/4 20:00,0
,3334,Declared Value,EVS-23,EVS,"{""min_declare_value"":2200.01,""max_declare_value"":2300}",1,1,1,1,36.85,2024/12/4 20:00,2099/12/31 23:59,0,0,0,,2024/12/4 20:00,0,2024/12/4 20:00,0
,3334,Declared Value,EVS-24,EVS,"{""min_declare_value"":2300.01,""max_declare_value"":2400}",1,1,1,1,38.45,2024/12/4 20:00,2099/12/31 23:59,0,0,0,,2024/12/4 20:00,0,2024/12/4 20:00,0
,3334,Declared Value,EVS-25,EVS,"{""min_declare_value"":2400.01,""max_declare_value"":2500}",1,1,1,1,40.05,2024/12/4 20:00,2099/12/31 23:59,0,0,0,,2024/12/4 20:00,0,2024/12/4 20:00,0
,3334,Declared Value,EVS-26,EVS,"{""min_declare_value"":2500.01,""max_declare_value"":2600}",1,1,1,1,41.65,2024/12/4 20:00,2099/12/31 23:59,0,0,0,,2024/12/4 20:00,0,2024/12/4 20:00,0
,3334,Declared Value,EVS-27,EVS,"{""min_declare_value"":2600.01,""max_declare_value"":2700}",1,1,1,1,43.25,2024/12/4 20:00,2099/12/31 23:59,0,0,0,,2024/12/4 20:00,0,2024/12/4 20:00,0
,3334,Declared Value,EVS-28,EVS,"{""min_declare_value"":2700.01,""max_declare_value"":2800}",1,1,1,1,44.85,2024/12/4 20:00,2099/12/31 23:59,0,0,0,,2024/12/4 20:00,0,2024/12/4 20:00,0
,3334,Declared Value,EVS-29,EVS,"{""min_declare_value"":2800.01,""max_declare_value"":2900}",1,1,1,1,46.45,2024/12/4 20:00,2099/12/31 23:59,0,0,0,,2024/12/4 20:00,0,2024/12/4 20:00,0
,3334,Declared Value,EVS-30,EVS,"{""min_declare_value"":2900.01,""max_declare_value"":3000}",1,1,1,1,48.05,2024/12/4 20:00,2099/12/31 23:59,0,0,0,,2024/12/4 20:00,0,2024/12/4 20:00,0
,3334,Declared Value,EVS-31,EVS,"{""min_declare_value"":3000.01,""max_declare_value"":3100}",1,1,1,1,49.65,2024/12/4 20:00,2099/12/31 23:59,0,0,0,,2024/12/4 20:00,0,2024/12/4 20:00,0
,3334,Declared Value,EVS-32,EVS,"{""min_declare_value"":3100.01,""max_declare_value"":3200}",1,1,1,1,51.25,2024/12/4 20:00,2099/12/31 23:59,0,0,0,,2024/12/4 20:00,0,2024/12/4 20:00,0
