zone_chart_id,zip_range_start,zip_range_end,warehouse_id,zone_chart_type_id,zone
,39900,39999,101,4,108
,40000,40099,101,4,108
,40100,40199,101,4,108
,40200,40299,101,4,108
,40300,40399,101,4,108
,40400,40499,101,4,108
,40500,40599,101,4,108
,40600,40699,101,4,108
,40700,40799,101,4,108
,40800,40899,101,4,108
,40900,40999,101,4,108
,41000,41099,101,4,108
,41100,41199,101,4,108
,41200,41299,101,4,108
,41300,41399,101,4,108
,41400,41499,101,4,108
,41500,41599,101,4,108
,41600,41699,101,4,108
,41700,41799,101,4,108
,41800,41899,101,4,108
,42000,42099,101,4,107
,42100,42199,101,4,108
,42200,42299,101,4,108
,42300,42399,101,4,108
,42400,42499,101,4,108
,42500,42599,101,4,108
,42600,42699,101,4,108
,42700,42799,101,4,108
,43000,43099,101,4,108
,43100,43199,101,4,108
,43200,43299,101,4,108
,43300,43399,101,4,108
,43400,43499,101,4,108
,43500,43599,101,4,108
,43600,43699,101,4,108
,43700,43799,101,4,108
,43800,43899,101,4,108
,43900,43999,101,4,108
,44000,44099,101,4,108
,44100,44199,101,4,108
,44200,44299,101,4,108
,44300,44399,101,4,108
,44400,44499,101,4,108
,44500,44599,101,4,108
,44600,44699,101,4,108
,44700,44799,101,4,108
,44800,44899,101,4,108
,44900,44999,101,4,108
,45000,45099,101,4,108
,45100,45199,101,4,108
,45200,45299,101,4,108
,45300,45399,101,4,108
,45400,45499,101,4,108
,45500,45599,101,4,108
,45600,45699,101,4,108
,45700,45799,101,4,108
,45800,45899,101,4,108
,45900,45999,101,4,108
,46000,46099,101,4,108
,46100,46199,101,4,108
,46200,46299,101,4,108
,46300,46399,101,4,107
,46400,46499,101,4,107
,46500,46599,101,4,108
,46600,46699,101,4,108
,46700,46799,101,4,108
,46800,46899,101,4,108
,46900,46999,101,4,108
,47000,47099,101,4,108
,47100,47199,101,4,108
,47200,47299,101,4,108
,47300,47399,101,4,108
,47400,47499,101,4,108
,47500,47599,101,4,108
,47600,47699,101,4,108
,47700,47799,101,4,108
,47800,47899,101,4,108
,47900,47999,101,4,107
,48000,48099,101,4,108
,48100,48199,101,4,108
,48200,48299,101,4,108
,48300,48399,101,4,108
,48400,48499,101,4,108
,48500,48599,101,4,108
,48600,48699,101,4,108
,48700,48799,101,4,108
,48800,48899,101,4,108
,48900,48999,101,4,108
,49000,49099,101,4,108
,49100,49199,101,4,108
,49200,49299,101,4,108
,49300,49399,101,4,108
,49400,49499,101,4,108
,49500,49599,101,4,108
,49600,49699,101,4,108
,49700,49799,101,4,108
,49800,49899,101,4,107
,49900,49999,101,4,107
,50000,50099,101,4,107
,50100,50199,101,4,107
,50200,50299,101,4,107
,50300,50399,101,4,107
,50400,50499,101,4,107
,50500,50599,101,4,107
,50600,50699,101,4,107
,50700,50799,101,4,107
,50800,50899,101,4,107
,50900,50999,101,4,107
,51000,51099,101,4,106
,51100,51199,101,4,106
,51200,51299,101,4,106
,51300,51399,101,4,106
,51400,51499,101,4,107
,51500,51599,101,4,106
,51600,51699,101,4,106
,52000,52099,101,4,107
,52100,52199,101,4,107
,52200,52299,101,4,107
,52300,52399,101,4,107
,52400,52499,101,4,107
,52500,52599,101,4,107
,52600,52699,101,4,107
,52700,52799,101,4,107
,52800,52899,101,4,107
,53000,53099,101,4,107
,53100,53199,101,4,107
,53200,53299,101,4,107
,53400,53499,101,4,107
,53500,53599,101,4,107
,53700,53799,101,4,107
,53800,53899,101,4,107
,53900,53999,101,4,107
,54000,54099,101,4,107
,54100,54199,101,4,107
,54200,54299,101,4,107
,54300,54399,101,4,107
,54400,54499,101,4,107
,54500,54599,101,4,107
,54600,54699,101,4,107
,54700,54799,101,4,107
,54800,54899,101,4,107
,54900,54999,101,4,107
,55000,55099,101,4,107
,55100,55199,101,4,107
,55300,55399,101,4,107
,55400,55499,101,4,107
,55500,55599,101,4,107
,55600,55699,101,4,107
,55700,55799,101,4,107
,55800,55899,101,4,107
,55900,55999,101,4,107
,56000,56099,101,4,107
,56100,56199,101,4,106
,56200,56299,101,4,107
,56300,56399,101,4,107
,56400,56499,101,4,107
,56500,56599,101,4,107
,56600,56699,101,4,107
,56700,56799,101,4,107
,57000,57099,101,4,106
,57100,57199,101,4,106
,57200,57299,101,4,106
,57300,57399,101,4,106
,57400,57499,101,4,106
,57500,57599,101,4,106
,57600,57699,101,4,106
,57700,57799,101,4,106
,58000,58099,101,4,106
,58100,58199,101,4,106
,58200,58299,101,4,106
,58300,58399,101,4,106
,58400,58499,101,4,106
,58500,58599,101,4,106
,58600,58699,101,4,106
,58700,58799,101,4,106
,58800,58899,101,4,106
,59000,59099,101,4,105
,59100,59199,101,4,105
,59200,59299,101,4,106
,59300,59399,101,4,105
,59400,59499,101,4,105
,59500,59599,101,4,105
,59600,59699,101,4,105
,59700,59799,101,4,105
,59800,59899,101,4,105
,59900,59999,101,4,105
,60000,60099,101,4,107
,60100,60199,101,4,107
,60200,60299,101,4,107
,60300,60399,101,4,107
,60400,60499,101,4,107
,60500,60599,101,4,107
,60600,60699,101,4,107
,60700,60799,101,4,107
,60800,60899,101,4,107
,60900,60999,101,4,107
,61000,61099,101,4,107
,61100,61199,101,4,107
,61200,61299,101,4,107
,61300,61399,101,4,107
,61400,61499,101,4,107
,61500,61599,101,4,107
,61600,61699,101,4,107
,61700,61799,101,4,107
,61800,61899,101,4,107
,61900,61999,101,4,107
,62000,62099,101,4,107
,62200,62299,101,4,107
,62300,62399,101,4,107
,62400,62499,101,4,107
,62500,62599,101,4,107
,62600,62699,101,4,107
,62700,62799,101,4,107
,62800,62899,101,4,107
,62900,62999,101,4,107
