zone_chart_id,zip_range_start,zip_range_end,warehouse_id,zone_chart_type_id,zone
,88000,88099,119,4,107
,88100,88199,119,4,106
,88200,88299,119,4,106
,88300,88399,119,4,107
,88400,88499,119,4,106
,88500,88599,119,4,107
,88900,88999,119,4,108
,89000,89099,119,4,108
,89100,89199,119,4,108
,89300,89399,119,4,108
,89400,89499,119,4,108
,89500,89599,119,4,108
,89700,89799,119,4,108
,89800,89899,119,4,108
,90000,90099,119,4,108
,90100,90199,119,4,108
,90200,90299,119,4,108
,90300,90399,119,4,108
,90400,90499,119,4,108
,90500,90599,119,4,108
,90600,90699,119,4,108
,90700,90799,119,4,108
,90800,90899,119,4,108
,91000,91099,119,4,108
,91100,91199,119,4,108
,91200,91299,119,4,108
,91300,91399,119,4,108
,91400,91499,119,4,108
,91500,91599,119,4,108
,91600,91699,119,4,108
,91700,91799,119,4,108
,91800,91899,119,4,108
,91900,91999,119,4,108
,92000,92099,119,4,108
,92100,92199,119,4,108
,92200,92299,119,4,108
,92300,92399,119,4,108
,92400,92499,119,4,108
,92500,92599,119,4,108
,92600,92699,119,4,108
,92700,92799,119,4,108
,92800,92899,119,4,108
,93000,93099,119,4,108
,93100,93199,119,4,108
,93200,93299,119,4,108
,93300,93399,119,4,108
,93400,93499,119,4,108
,93500,93599,119,4,108
,93600,93699,119,4,108
,93700,93799,119,4,108
,93800,93899,119,4,108
,93900,93999,119,4,108
,94000,94099,119,4,108
,94100,94199,119,4,108
,94200,94299,119,4,108
,94300,94399,119,4,108
,94400,94499,119,4,108
,94500,94599,119,4,108
,94600,94699,119,4,108
,94700,94799,119,4,108
,94800,94899,119,4,108
,94900,94999,119,4,108
,95000,95099,119,4,108
,95100,95199,119,4,108
,95200,95299,119,4,108
,95300,95399,119,4,108
,95400,95499,119,4,108
,95500,95599,119,4,108
,95600,95699,119,4,108
,95700,95799,119,4,108
,95800,95899,119,4,108
,95900,95999,119,4,108
,96000,96099,119,4,108
,96100,96199,119,4,108
,97000,97099,119,4,108
,97100,97199,119,4,108
,97200,97299,119,4,108
,97300,97399,119,4,108
,97400,97499,119,4,108
,97500,97599,119,4,108
,97600,97699,119,4,108
,97700,97799,119,4,108
,97800,97899,119,4,108
,97900,97999,119,4,108
,98000,98099,119,4,108
,98100,98199,119,4,108
,98200,98299,119,4,108
,98300,98399,119,4,108
,98400,98499,119,4,108
,98500,98599,119,4,108
,98600,98699,119,4,108
,98800,98899,119,4,108
,98900,98999,119,4,108
,99000,99099,119,4,108
,99100,99199,119,4,108
,99200,99299,119,4,108
,99300,99399,119,4,108
,99400,99499,119,4,108
,00500,00599,120,4,105
,00600,00699,120,4,125
,00700,00799,120,4,125
,00900,00999,120,4,125
,01000,01099,120,4,105
,01100,01199,120,4,105
,01200,01299,120,4,105
,01300,01399,120,4,105
,01400,01499,120,4,105
,01500,01599,120,4,105
,01600,01699,120,4,105
,01700,01799,120,4,105
,01800,01899,120,4,105
,01900,01999,120,4,105
,02000,02099,120,4,105
,02100,02199,120,4,105
,02200,02299,120,4,105
,02300,02399,120,4,105
,02400,02499,120,4,105
,02500,02599,120,4,105
,02600,02699,120,4,105
,02700,02799,120,4,105
,02800,02899,120,4,105
,02900,02999,120,4,105
,03000,03099,120,4,105
,03100,03199,120,4,105
,03200,03299,120,4,105
,03300,03399,120,4,105
,03400,03499,120,4,105
,03500,03599,120,4,105
,03600,03699,120,4,105
,03700,03799,120,4,105
,03800,03899,120,4,105
,03900,03999,120,4,105
,04000,04099,120,4,105
,04100,04199,120,4,105
,04200,04299,120,4,105
,04300,04399,120,4,106
,04400,04499,120,4,106
,04500,04599,120,4,105
,04600,04699,120,4,106
,04700,04799,120,4,106
,04800,04899,120,4,106
,04900,04999,120,4,106
,05000,05099,120,4,105
,05100,05199,120,4,105
,05200,05299,120,4,105
,05300,05399,120,4,105
,05400,05499,120,4,105
,05500,05599,120,4,105
,05600,05699,120,4,105
,05700,05799,120,4,105
,05800,05899,120,4,105
,05900,05999,120,4,105
,06000,06099,120,4,105
,06100,06199,120,4,105
,06200,06299,120,4,105
,06300,06399,120,4,105
,06400,06499,120,4,105
,06500,06599,120,4,105
,06600,06699,120,4,105
,06700,06799,120,4,105
,06800,06899,120,4,105
,06900,06999,120,4,105
,07000,07099,120,4,105
,07100,07199,120,4,105
,07200,07299,120,4,105
,07300,07399,120,4,105
,07400,07499,120,4,105
,07500,07599,120,4,105
,07600,07699,120,4,105
,07700,07799,120,4,105
,07800,07899,120,4,105
,07900,07999,120,4,105
,08000,08099,120,4,105
,08100,08199,120,4,104
,08200,08299,120,4,104
,08300,08399,120,4,104
,08400,08499,120,4,104
,08500,08599,120,4,105
,08600,08699,120,4,105
,08700,08799,120,4,105
,08800,08899,120,4,105
,08900,08999,120,4,105
,10000,10099,120,4,105
,10100,10199,120,4,105
,10200,10299,120,4,105
,10300,10399,120,4,105
,10400,10499,120,4,105
,10500,10599,120,4,105
,10600,10699,120,4,105
,10700,10799,120,4,105
,10800,10899,120,4,105
,10900,10999,120,4,105
,11000,11099,120,4,105
,11100,11199,120,4,105
,11200,11299,120,4,105
,11300,11399,120,4,105
,11400,11499,120,4,105
,11500,11599,120,4,105
,11600,11699,120,4,105
,11700,11799,120,4,105
,11800,11899,120,4,105
,11900,11999,120,4,105
,12000,12099,120,4,105
,12100,12199,120,4,105
,12200,12299,120,4,105
,12300,12399,120,4,105
,12400,12499,120,4,105
,12500,12599,120,4,105
,12600,12699,120,4,105
,12700,12799,120,4,105
,12800,12899,120,4,105
,12900,12999,120,4,105
,13000,13099,120,4,105
,13100,13199,120,4,105
,13200,13299,120,4,105
,13300,13399,120,4,105
,13400,13499,120,4,105
,13500,13599,120,4,105
,13600,13699,120,4,105
,13700,13799,120,4,105
,13800,13899,120,4,105
,13900,13999,120,4,105
,14000,14099,120,4,105
,14100,14199,120,4,105
,14200,14299,120,4,105
,14300,14399,120,4,105
,14400,14499,120,4,105
,14500,14599,120,4,105
,14600,14699,120,4,105
,14700,14799,120,4,105
,14800,14899,120,4,105
,14900,14999,120,4,105
,15000,15099,120,4,104
,15100,15199,120,4,104
,15200,15299,120,4,104
,15300,15399,120,4,104
,15400,15499,120,4,104
,15500,15599,120,4,104
,15600,15699,120,4,104
,15700,15799,120,4,104
,15800,15899,120,4,105
,15900,15999,120,4,104
,16000,16099,120,4,104
,16100,16199,120,4,105
,16200,16299,120,4,104
,16300,16399,120,4,105
,16400,16499,120,4,105
,16500,16599,120,4,105
,16600,16699,120,4,104
,16700,16799,120,4,105
,16800,16899,120,4,104
,16900,16999,120,4,105
,17000,17099,120,4,104
,17100,17199,120,4,104
,17200,17299,120,4,104
,17300,17399,120,4,104
,17400,17499,120,4,104
,17500,17599,120,4,104
,17600,17699,120,4,104
