zone_chart_id,zip_range_start,zip_range_end,warehouse_id,zone_chart_type_id,zone,hidden,disabled,deleted,deleted_at,created_at,created_by,updated_at,updated_by
,13100,13199,101,1,8,0,0,0,,2025/1/6 0:00,0,2025/1/6 0:00,0
,13200,13299,101,1,8,0,0,0,,2025/1/6 0:00,0,2025/1/6 0:00,0
,13300,13399,101,1,8,0,0,0,,2025/1/6 0:00,0,2025/1/6 0:00,0
,13400,13499,101,1,8,0,0,0,,2025/1/6 0:00,0,2025/1/6 0:00,0
,13500,13599,101,1,8,0,0,0,,2025/1/6 0:00,0,2025/1/6 0:00,0
,13600,13699,101,1,8,0,0,0,,2025/1/6 0:00,0,2025/1/6 0:00,0
,13700,13799,101,1,8,0,0,0,,2025/1/6 0:00,0,2025/1/6 0:00,0
,13800,13899,101,1,8,0,0,0,,2025/1/6 0:00,0,2025/1/6 0:00,0
,13900,13999,101,1,8,0,0,0,,2025/1/6 0:00,0,2025/1/6 0:00,0
,14000,14099,101,1,8,0,0,0,,2025/1/6 0:00,0,2025/1/6 0:00,0
,14100,14199,101,1,8,0,0,0,,2025/1/6 0:00,0,2025/1/6 0:00,0
,14200,14299,101,1,8,0,0,0,,2025/1/6 0:00,0,2025/1/6 0:00,0
,14300,14399,101,1,8,0,0,0,,2025/1/6 0:00,0,2025/1/6 0:00,0
,14400,14499,101,1,8,0,0,0,,2025/1/6 0:00,0,2025/1/6 0:00,0
,14500,14599,101,1,8,0,0,0,,2025/1/6 0:00,0,2025/1/6 0:00,0
,14600,14699,101,1,8,0,0,0,,2025/1/6 0:00,0,2025/1/6 0:00,0
,14700,14799,101,1,8,0,0,0,,2025/1/6 0:00,0,2025/1/6 0:00,0
,14800,14899,101,1,8,0,0,0,,2025/1/6 0:00,0,2025/1/6 0:00,0
,14900,14999,101,1,8,0,0,0,,2025/1/6 0:00,0,2025/1/6 0:00,0
,15000,15099,101,1,8,0,0,0,,2025/1/6 0:00,0,2025/1/6 0:00,0
,15100,15199,101,1,8,0,0,0,,2025/1/6 0:00,0,2025/1/6 0:00,0
,15200,15299,101,1,8,0,0,0,,2025/1/6 0:00,0,2025/1/6 0:00,0
,15300,15399,101,1,8,0,0,0,,2025/1/6 0:00,0,2025/1/6 0:00,0
,15400,15499,101,1,8,0,0,0,,2025/1/6 0:00,0,2025/1/6 0:00,0
,15500,15599,101,1,8,0,0,0,,2025/1/6 0:00,0,2025/1/6 0:00,0
,15600,15699,101,1,8,0,0,0,,2025/1/6 0:00,0,2025/1/6 0:00,0
,15700,15799,101,1,8,0,0,0,,2025/1/6 0:00,0,2025/1/6 0:00,0
,15800,15899,101,1,8,0,0,0,,2025/1/6 0:00,0,2025/1/6 0:00,0
,15900,15999,101,1,8,0,0,0,,2025/1/6 0:00,0,2025/1/6 0:00,0
,16000,16099,101,1,8,0,0,0,,2025/1/6 0:00,0,2025/1/6 0:00,0
,16100,16199,101,1,8,0,0,0,,2025/1/6 0:00,0,2025/1/6 0:00,0
,16200,16299,101,1,8,0,0,0,,2025/1/6 0:00,0,2025/1/6 0:00,0
,16300,16399,101,1,8,0,0,0,,2025/1/6 0:00,0,2025/1/6 0:00,0
,16400,16499,101,1,8,0,0,0,,2025/1/6 0:00,0,2025/1/6 0:00,0
,16500,16599,101,1,8,0,0,0,,2025/1/6 0:00,0,2025/1/6 0:00,0
,16600,16699,101,1,8,0,0,0,,2025/1/6 0:00,0,2025/1/6 0:00,0
,16700,16799,101,1,8,0,0,0,,2025/1/6 0:00,0,2025/1/6 0:00,0
,16800,16899,101,1,8,0,0,0,,2025/1/6 0:00,0,2025/1/6 0:00,0
,16900,16999,101,1,8,0,0,0,,2025/1/6 0:00,0,2025/1/6 0:00,0
,17000,17099,101,1,8,0,0,0,,2025/1/6 0:00,0,2025/1/6 0:00,0
,17100,17199,101,1,8,0,0,0,,2025/1/6 0:00,0,2025/1/6 0:00,0
,17200,17299,101,1,8,0,0,0,,2025/1/6 0:00,0,2025/1/6 0:00,0
,17300,17399,101,1,8,0,0,0,,2025/1/6 0:00,0,2025/1/6 0:00,0
,17400,17499,101,1,8,0,0,0,,2025/1/6 0:00,0,2025/1/6 0:00,0
,17500,17599,101,1,8,0,0,0,,2025/1/6 0:00,0,2025/1/6 0:00,0
,17600,17699,101,1,8,0,0,0,,2025/1/6 0:00,0,2025/1/6 0:00,0
